1,0,1689.045,385.04499999999996,146,332,-1,-1,-1,-1
1,1,1303.045,503.04499999999996,61,139,-1,-1,-1,-1
1,2,1258.045,569.045,40,91,-1,-1,-1,-1
1,3,31.045,525.045,113,257,-1,-1,-1,-1
1,4,1800.045,483.04499999999996,94,214,-1,-1,-1,-1
2,0,1689.045,385.04499999999996,146,332,-1,-1,-1,-1
2,1,1312.045,503.04499999999996,61,139,-1,-1,-1,-1
2,4,1744.045,476.04499999999996,123,280,-1,-1,-1,-1
2,2,1254.045,537.045,52,118,-1,-1,-1,-1
2,3,55.045,542.045,94,214,-1,-1,-1,-1
2,5,1641.045,494.04499999999996,40,91,-1,-1,-1,-1
3,4,1742.045,513.045,94,214,-1,-1,-1,-1
3,0,1664.045,418.04499999999996,135,307,-1,-1,-1,-1
3,1,1312.045,503.04499999999996,61,139,-1,-1,-1,-1
3,6,1776.045,473.04499999999996,113,257,-1,-1,-1,-1
3,2,1234.045,415.04499999999996,103,234,-1,-1,-1,-1
3,7,107.04499999999999,494.04499999999996,103,234,-1,-1,-1,-1
3,3,51.045,555.045,87,199,-1,-1,-1,-1
4,0,1668.045,371.04499999999996,159,362,-1,-1,-1,-1
4,6,1759.045,473.04499999999996,113,257,-1,-1,-1,-1
4,8,1852.045,505.04499999999996,30,70,-1,-1,-1,-1
4,1,1305.045,500.04499999999996,67,153,-1,-1,-1,-1
4,7,107.04499999999999,494.04499999999996,103,234,-1,-1,-1,-1
4,3,58.045,566.045,79,181,-1,-1,-1,-1
5,6,1692.045,371.04499999999996,159,362,-1,-1,-1,-1
5,8,1848.045,505.04499999999996,30,70,-1,-1,-1,-1
5,1,1318.045,537.045,52,118,-1,-1,-1,-1
5,0,1643.045,396.04499999999996,159,362,-1,-1,-1,-1
6,0,1666.045,385.04499999999996,146,332,-1,-1,-1,-1
6,8,1849.045,510.04499999999996,28,64,-1,-1,-1,-1
6,9,1333.045,498.04499999999996,56,128,-1,-1,-1,-1
6,1,1318.045,537.045,52,118,-1,-1,-1,-1
6,6,1741.045,473.04499999999996,113,257,-1,-1,-1,-1
6,10,107.04499999999999,494.04499999999996,103,234,-1,-1,-1,-1
7,0,1668.045,371.04499999999996,159,362,-1,-1,-1,-1
7,8,1849.045,510.04499999999996,28,64,-1,-1,-1,-1
